T;R(0, T)
0,08333333;0,47%
0,16666667;0,47%
0,25;0,48%
0,5;0,70%
0,75;0,73%
1;0,89%
2;0,90%
3;1,15%
4;1,46%
5;1,71%
6;1,95%
7;2,17%
8;2,36%
9;2,52%
10;2,66%
11;2,77%
12;2,86%
13;2,94%
14;3,00%
15;3,05%
16;3,10%
17;3,14%
18;3,18%
19;3,21%
20;3,24%
21;3,26%
22;3,28%
23;3,29%
24;3,30%
25;3,31%
26;3,32%
27;3,33%
28;3,33%
29;3,34%
30;3,34%
31;3,34%
32;3,35%
33;3,35%
34;3,35%
35;3,36%
36;3,36%
37;3,36%
38;3,36%
39;3,36%
40;3,37%
41;3,37%
42;3,37%
43;3,37%
44;3,37%
45;3,37%
46;3,37%
47;3,37%
48;3,37%
49;3,37%
50;3,37%
